Loading pytorch-gpu/py3/2.3.1
  Loading requirement: cuda/12.4.1 nccl/2.21.5-1-cuda cudnn/9.2.0.82-cuda
    gcc/11.5.0 openmpi/4.1.5-cuda intel-oneapi-mkl/2024.1 magma/2.8.0-cuda
    sox/14.4.2 hdf5/1.12.0-mpi-cuda libjpeg-turbo/2.1.3 ffmpeg/6.1.1
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
⚙️ Using FACTOR: 1.0
⚙️ World size: 2
✅ Data, Model, and Optimizer initialized.
💾 Checkpoint will be saved as: flow_models/model_20260519_201605.ckpt
✅ Data loaded: 70000 samples, 136 batches per process.
🔥 Starting Training for 5 epochs...
Epoch 1/5 | step 1 | batch 1/136 | loss 0.1615
Epoch 1/5 | step 2 | batch 2/136 | loss 0.1325
Epoch 1/5 | step 3 | batch 3/136 | loss 0.0663
Epoch 1/5 | step 4 | batch 4/136 | loss -0.0181
Epoch 1/5 | step 5 | batch 5/136 | loss -0.1019
Epoch 1/5 | step 6 | batch 6/136 | loss -0.1780
Epoch 1/5 | step 7 | batch 7/136 | loss -0.2687
Epoch 1/5 | step 8 | batch 8/136 | loss -0.3062
Epoch 1/5 | step 9 | batch 9/136 | loss -0.3371
Epoch 1/5 | step 10 | batch 10/136 | loss -0.4141
Epoch 1/5 | step 11 | batch 11/136 | loss -0.4635
Epoch 1/5 | step 12 | batch 12/136 | loss -0.5134
Epoch 1/5 | step 13 | batch 13/136 | loss -0.5677
Epoch 1/5 | step 14 | batch 14/136 | loss -0.6177
Epoch 1/5 | step 15 | batch 15/136 | loss -0.6167
Epoch 1/5 | step 16 | batch 16/136 | loss -0.6429
Epoch 1/5 | step 17 | batch 17/136 | loss -0.6756
Epoch 1/5 | step 18 | batch 18/136 | loss -0.6869
Epoch 1/5 | step 19 | batch 19/136 | loss -0.7021
Epoch 1/5 | step 20 | batch 20/136 | loss -0.7000
Epoch 1/5 | step 21 | batch 21/136 | loss -0.6858
Epoch 1/5 | step 22 | batch 22/136 | loss -0.7020
Epoch 1/5 | step 23 | batch 23/136 | loss -0.7280
Epoch 1/5 | step 24 | batch 24/136 | loss -0.7326
Epoch 1/5 | step 25 | batch 25/136 | loss -0.7281
Epoch 1/5 | step 26 | batch 26/136 | loss -0.7540
Epoch 1/5 | step 27 | batch 27/136 | loss -0.7765
Epoch 1/5 | step 28 | batch 28/136 | loss -0.7804
Epoch 1/5 | step 29 | batch 29/136 | loss -0.8008
Epoch 1/5 | step 30 | batch 30/136 | loss -0.7881
Epoch 1/5 | step 31 | batch 31/136 | loss -0.7620
Epoch 1/5 | step 32 | batch 32/136 | loss -0.7965
Epoch 1/5 | step 33 | batch 33/136 | loss -0.7945
Epoch 1/5 | step 34 | batch 34/136 | loss -0.8120
Epoch 1/5 | step 35 | batch 35/136 | loss -0.8123
Epoch 1/5 | step 36 | batch 36/136 | loss -0.8009
Epoch 1/5 | step 37 | batch 37/136 | loss -0.8355
Epoch 1/5 | step 38 | batch 38/136 | loss -0.8001
Epoch 1/5 | step 39 | batch 39/136 | loss -0.8357
Epoch 1/5 | step 40 | batch 40/136 | loss -0.8128
Epoch 1/5 | step 41 | batch 41/136 | loss -0.8382
Epoch 1/5 | step 42 | batch 42/136 | loss -0.8484
Epoch 1/5 | step 43 | batch 43/136 | loss -0.8475
Epoch 1/5 | step 44 | batch 44/136 | loss -0.8557
Epoch 1/5 | step 45 | batch 45/136 | loss -0.8320
Epoch 1/5 | step 46 | batch 46/136 | loss -0.8385
Epoch 1/5 | step 47 | batch 47/136 | loss -0.8753
Epoch 1/5 | step 48 | batch 48/136 | loss -0.8748
Epoch 1/5 | step 49 | batch 49/136 | loss -0.8649
Epoch 1/5 | step 50 | batch 50/136 | loss -0.8692
Epoch 1/5 | step 51 | batch 51/136 | loss -0.8783
Epoch 1/5 | step 52 | batch 52/136 | loss -0.9019
Epoch 1/5 | step 53 | batch 53/136 | loss -0.9002
Epoch 1/5 | step 54 | batch 54/136 | loss -0.8939
Epoch 1/5 | step 55 | batch 55/136 | loss -0.8895
Epoch 1/5 | step 56 | batch 56/136 | loss -0.9184
Epoch 1/5 | step 57 | batch 57/136 | loss -0.9154
Epoch 1/5 | step 58 | batch 58/136 | loss -0.9145
Epoch 1/5 | step 59 | batch 59/136 | loss -0.9109
Epoch 1/5 | step 60 | batch 60/136 | loss -0.9004
Epoch 1/5 | step 61 | batch 61/136 | loss -0.9370
Epoch 1/5 | step 62 | batch 62/136 | loss -0.9451
Epoch 1/5 | step 63 | batch 63/136 | loss -0.9593
Epoch 1/5 | step 64 | batch 64/136 | loss -0.9342
Epoch 1/5 | step 65 | batch 65/136 | loss -0.9438
Epoch 1/5 | step 66 | batch 66/136 | loss -0.9234
Epoch 1/5 | step 67 | batch 67/136 | loss -0.9300
Epoch 1/5 | step 68 | batch 68/136 | loss -0.9429
Epoch 1/5 | step 69 | batch 69/136 | loss -0.9436
Epoch 1/5 | step 70 | batch 70/136 | loss -0.9586
